Topic,Count,Name,Representation,Representative_Docs_x,Representative_Docs_y
64,17,64_school_responsibility_university_good,"['school', 'responsibility', 'university', 'good', 'very', 'think', 'doing', 'pleased', 'policemen', 'institutionâ']","['i think the university is doing a good job ', 'my school is very good', 'the school is very good']","['college doing a good job', 'i am very pleased with my institutionâ€™s efforts ', 'not the colleges problem that my responsibility', 'i honestly donâ€™t think its the collegeâ€™s role or responsibility to do this', 'my university is doing very well']"
65,17,65_affordable_housing_options_campus,"['affordable', 'housing', 'options', 'campus', 'banks', 'students', 'build', 'might', 'along', 'offer']","['offer affordable and healthy food options build dorms for students with families or offer affordable housing for students near campus', 'it might be helpful to students to have a housing office where rental information is posted and updated  we already have food banks on different campuses which is good  it might be even better to have food banks on wheels  in other words have food banks that can actually go to meet people where they are instead of having them come to campus  this might lessen stigma and reach more people  i am not sure about this but my impression is that most students are now online and not attending inperson classes and a traveling food bank might be better able to reach people where they are  of course it would be more expensive ', 'i am really proud of our campus recent food security initiative in launching the campus cabinet food bank for current and prospective students i would like to see the campus cabinet grow to increase capacity with food pick ups and include basic hygiene and household items such as shampoo soap deodorant detergents etc i would also like to see our campus address our lack of oncampus housing since we are a community college in a small city serving primarily nontraditional students i dont know that dorms would be feasible but i would like to see us partner with local housing programs to provide subsidized housing for students or perhaps launch a roommatefinding program to help students reduce housing costs ']","['the food pantries are very helpful i think it would be good to have cheaper housing options for community college students and also better affordable food options on community college campuses', 'i am really proud of our campus recent food security initiative in launching the campus cabinet food bank for current and prospective students i would like to see the campus cabinet grow to increase capacity with food pick ups and include basic hygiene and household items such as shampoo soap deodorant detergents etc i would also like to see our campus address our lack of oncampus housing since we are a community college in a small city serving primarily nontraditional students i dont know that dorms would be feasible but i would like to see us partner with local housing programs to provide subsidized housing for students or perhaps launch a roommatefinding program to help students reduce housing costs ', 'offer affordable and healthy food options build dorms for students with families or offer affordable housing for students near campus', 'college could build dormitories local towncounty could focus more on affordable housing it feels like there are several food pantriesfood banks in our community for those with food insecurities', 'more healthy food options and availability throughout the entire campus not just in the sub unm needs more student housing especially for graduate students that is affordable']"
66,16,66_free_meals_waste_seems,"['free', 'meals', 'waste', 'seems', 'hotdogsnachosetc', 'grains', 'appear', 'nutritionist', 'bin', 'freebies']","['provide more free food', 'provide more free food', 'free food']","['i really dont know it seems asking for free stuff just makes for people to take advantage that causes those that really need it to go without someone has to pay for the freebies but it seems the usual recipients are the scammers', 'free food events  hotdogsnachosetc so that it does not appear that it would be my only meal for the day', 'free meals ', 'free meals that include fresh fruits vegetables and whole grains', 'hope there are more free meals']"
67,16,67_nope_nah_no_,"['nope', 'nah', 'no', '', '', '', '', '', '', '']","['nope ', 'nope', 'nope ']","['nope ', 'nope ', 'no', 'no', 'no']"
68,16,68_lunch_bring_lunches_supposed,"['lunch', 'bring', 'lunches', 'supposed', 'youre', 'situation', 'work', 'parents', 'parking', 'going']","['for me its not really but for those who get 12 hour for lunch it probably is affecting their health and work because theyd need to bring food to work or eat snacks from the machines', 'i do not eat out for lunch  i am the only person in my office who goes home to eat lunch  it is cheaper  i do not engage in that social aspect of lunch hour currently i live in my parents rental mobile home for free this is supposed to be temporary  i have a car payment and pay utilities  i cannot afford the monthly car insurance that i am supposed to pay my parents ', 'a good breakfast can have you energized for the day lunch gets you back going without a meal you can not feel concentrated or feel groggy my housing situation stresses me out i cant afford to move out of an apartment and live on my own if i did my financial food situation would be extremely worse']","['just need to be creative with my lunch breaks sometimes ', 'less lunches at work', 'sometimes i cannot afford to bring food to work ', 'finding a place close by work to buy lunch', 'i do not eat out for lunch  i am the only person in my office who goes home to eat lunch  it is cheaper  i do not engage in that social aspect of lunch hour currently i live in my parents rental mobile home for free this is supposed to be temporary  i have a car payment and pay utilities  i cannot afford the monthly car insurance that i am supposed to pay my parents ']"
69,15,69_effect_affect_impact_no,"['effect', 'affect', 'impact', 'no', 'comparative', 'little', 'great', 'much', 'have', 'not']","['no effect', 'no effect', 'no effect']","['no affect ', 'no affect', 'no affect', 'no effect', 'not much impact']"
70,14,70_prices_rising_grocery_increasing,"['prices', 'rising', 'grocery', 'increasing', 'expensive', 'expenses', 'takeout', 'suffering', 'luxury', 'deals']","['because of rising food prices', 'higher pay to compete with rising prices of groceries or having more available at food pantries', 'increasing food prices mean tough choices about meals and what we have at home i have to make several grocery trips to find deals and that means less time working']","['increasing food prices mean tough choices about meals and what we have at home i have to make several grocery trips to find deals and that means less time working', 'food is expensive ', 'most of the people are suffering from high grocery store expenses', 'stress about increasing food cost', 'i have been looking for a higher paying position to keep up with the grocery expenses']"
71,14,71_unm_principles_programs_hardship,"['unm', 'principles', 'programs', 'hardship', 'break', 'does', 'loan', 'im', 'new', 'based']","['more advertising for the programs unm does a not of what unm does isnâ€™t widely known', 'i have had the pleasure and enjoyed my work here at unm especially with the students and staff unfortunately i have had to make the hard decision to leave unm to pursue other employment opportunities based on higher wages less retirement deductions and no parking fees unm entity is a great establishment i am just so sad i have to leave based on my current needs financially i am praying i can come back once all this financial hardship passes i love the campus  ', 'im not sure what unm does but when i was in college the dorms often closed for holidays and school breaks such as spring break thanksgiving and winter break this was a substantial hardship for me if unm has a similar policy i would encourage them to reconsider ']","['unm is going down and i am getting old too many useless people in administration with fat checks and little brain', 'make it more knowni had no idea unm helped with assistance ', 'im relatively new to unm and nm so im not sure', 'im not sure what unm does but when i was in college the dorms often closed for holidays and school breaks such as spring break thanksgiving and winter break this was a substantial hardship for me if unm has a similar policy i would encourage them to reconsider ', 'perhaps private donors could give to a fund that would provide extra resources to those in need at unm']"
72,14,72_pay_more_me_money,"['pay', 'more', 'me', 'money', 'goverment', 'us', 'give', 'less', 'charge', 'funds']","['pay more', 'pay more ', 'pay me more ']","['pay more ', 'pay me more ', 'pay more charge less', 'more funds', 'pay people more']"
73,14,73_fulltime_because_support_enough,"['fulltime', 'because', 'support', 'enough', 'retirement', 'make', 'age', 'family', 'my', 'son']","['i feel secure my disabled adult son lives with a family member and he and i feel insecure about his current and long term living situation esp when i retire and am on a fixed income i will need to continue working as long as possible to help support my son', 'my family lives in las cruces and i live in socorro five days out of the week to work here i leave for work at 5 am on monday and go back home 5 pm on friday i have a toddler and a girlfriend going to university fulltime i cant marry because theyll lose the goverment assistance they need to get by they cant move here because there is no support system in soccorro like there is for them in cruces ', 'in one of the text boxes i explained this but i want to share it here so it is obvious im temporary parttime faculty but im working over fulltime i work more than a fulltime employee depending on the semester this semester im 108 employed despite this insane amount of work i make very little worry about saving for retirement dont have any job security dont have reliable benefits and feel my only option to make this work is to live with my parents and eat their food']","['i feel secure my disabled adult son lives with a family member and he and i feel insecure about his current and long term living situation esp when i retire and am on a fixed income i will need to continue working as long as possible to help support my son', 'i work multiple jobs to be able to pay the bills and be sole support of my child', 'its not but only because my mom gives me and my wife 10000 a year to help us out', 'it isnt right now but i worry that it could in the future even though i make what i consider to be a generous salary i make enough to support myself just fine but as my parents age i really worry about the additional financial burden of having to support them ', 'its more the other way around  im not paid enough to provide for my family']"
74,14,74_drives_bank_banks_food,"['drives', 'bank', 'banks', 'food', 'funding', 'plummet', 'prominent', 'drivesavailability', 'eviction', 'relocation']","['food drives', 'the food bank i understand its not thriving right now funding is down and so the food available is low i changed my donation deduction through my employer to support the food bank maybe its making a small difference', 'more food banks drives']","['food drives', 'we do have a food bank we would benefit from having a reliable source of funding to stock it better ', 'more food banks drives', 'food banks helping me takes a month to get paid as new employees ', 'the highlands satellites could have more prominent signs for food banks and other resources']"
75,14,75_housing_welfare_stale_rentalmortgage,"['housing', 'welfare', 'stale', 'rentalmortgage', 'incomes', 'plans', 'marketing', 'coordination', 'escalating', 'sliding']","['provide housing on a sliding scale provide free meals for those with low incomes', 'offer more opportunities for free or discounted food we had a snack cafe but it closed and was also very expensive im unsure about housing options', 'more advertising on where to access free food  better coordination and marketing of housing availability it feels almost impossible to find info on shared housing lowcost housing shelter housing what to do if you have no housing etc']","['food is mainly stale at times and housing costs are high', 'our rentalmortgage and food prices are too high ', 'provide housing on a sliding scale provide free meals for those with low incomes', 'offer more opportunities for free or discounted food we had a snack cafe but it closed and was also very expensive im unsure about housing options', 'subsidize meal plans and housing ']"
76,13,76_money_job_looking_second,"['money', 'job', 'looking', 'second', 'am', 'jobs', 'salary', 'want', 'lunch', 'worked']","['earning more money would be nice i am the breadwinner for a family of six daycare and housing costs are very high and even though i make good income relative to many people it is still not enough inflation and childcare costs have hit us really hard ', 'im always looking for a better paying job i dont want to leavechange roles but i need to make more money to support my family', 'i sometimes have to take leave because i dont have money for gas because i spent the last of my money on food from the dollar tree buying a couple of items to last a week or two when i am really in a pinch and have no extra money for food i do not take a lunch break because i have nothing to eat i usually work through lunch so i dont have to spend any additional money on lunch i will use that money for dinner i am also looking for a parttime job to generate additional funds so i would be working 1216 hour days if i secure a parttime job ']","['i need a job with a better salary why should i care about a job that barely pays me enough to scrape by ', 'i have had to get a second and third job i work gig jobs to provide enough money to get through the weeks ', 'i am constantly looking for more work opportunities where i can make extra money', 'have to work two jobs', 'im always looking for a better paying job i dont want to leavechange roles but i need to make more money to support my family']"
77,13,77_hasnt_has_it_compared,"['hasnt', 'has', 'it', 'compared', 'yet', 'not', 'see', 'good', 'other', 'many']","['it hasnt', 'it hasnt', 'it hasnt']","['it has not ', 'it hasnt', 'it hasnt ', 'it hasnt', 'it has not ']"
78,12,78_cafeteria_steady_selection_price,"['cafeteria', 'steady', 'selection', 'price', 'start', 'reasonable', 'serve', 'shac', 'dishes', 'assistancediscount']","['have a cafeteria that provides healthy meals at a reasonable price', 'have a better selection of nutritious food at cafeteria at a reasonable price', 'the cafeteria could start offering a la carte dishes and serve people as individuals and not forcing people to take a whole meal when all they want is a simple serving  im not saying that they should offer less and cut everything down  they just need to allow people to choose what they want to eat  maybe serve by the items of choice per person']","['cheaper food options in the cafeteria ', 'provide cafeteria or meal plan options ', 'more support for the food pantry better staff shac open an affordable healthy cafeteria in the sub', 'provide a steady cafeteria with healthy options and steady availability', 'have a better selection of nutritious food at cafeteria at a reasonable price']"
79,11,79_reduce_selctions_posada_mercado,"['reduce', 'selctions', 'posada', 'mercado', 'affordable', 'options', 'prices', 'lower', 'pricing', 'costs']","['reduce costs', 'lower the prices at the mercado', 'reduce cost of la posada']","['make it more available and cheaper', 'better options and affordable ', 'reduce costs', 'better options and pricing', 'other more selctions and not as expensive']"
80,11,80_hours_early_leave_pantry,"['hours', 'early', 'leave', 'pantry', 'longer', 'line', 'open', 'often', 'items', 'afternoon']","['i do not have a place to store food at work such as a refrigerator because of this i often leave work early to go home and eat', 'longer cafeteria hours more days out the week for the food pantry', 'the food pantry often runs out of food if youre not in line early hence having to leave work to line up early i often only get a few items which really doesnt make it worth it ']","['i do not have a place to store food at work such as a refrigerator because of this i often leave work early to go home and eat', 'i sometimes have to leave work to go to a food pantry which is an embarrassing excuse to leave ', 'more hours and food items at the westside food pantry', 'make the food pantry available in hours outside of the normal work day', 'additional food pantry hours']"
81,11,81_rent_lease_goes_ago,"['rent', 'lease', 'goes', 'ago', 'again', 'will', 'worry', 'my', 'up', '1200']","['it isnt affecting my work at this time  my rent contract is due for renewal soon and i worry about the rent hike i know is coming  my apartment complex has been sold twice in the last 5 years', 'right now im at stable spot but i worry about new rental leasing with rent increaseslandlords or property management not fulfilling their legal roles my partner and i want to mortgage a house but it seems impossible when we eventually face these issues im sure it will negatively affect my work', 'the local landlords are charging too much for rent  the apartment that i used to rent for 350 25 years ago is now 1200  a student working 20 hours a week makes just enough to pay rent']","['if the rent goes up again after my lease is up i probably wont be able to keep working at cnm', 'right now im at stable spot but i worry about new rental leasing with rent increaseslandlords or property management not fulfilling their legal roles my partner and i want to mortgage a house but it seems impossible when we eventually face these issues im sure it will negatively affect my work', 'it is hard to want to work hardenjoy work when one out of two paychecks each month goes completely to rent ', 'since i took a pay cut this year with rent increased i have been barely making it by', 'worry about rent']"
82,11,82_wages_increase_university_prices,"['wages', 'increase', 'university', 'prices', 'on', 'campus', 'wage', 'healthier', 'single', 'offer']","['increase wages and offer healthy food options on campus', 'increase free or inexpensive food availabilityboth hot food and food pantries increase salaries for lowest paid employees include regular cost of living raises for employees offer access to resources for single parentsa faculty income might be fine for one single person but it is extremely difficult to raise a family on 55000 a year particularly while paying down student loans ', 'pay a living wage full benefits and demand that any contractors doing business with university also pay a living wage and benefits immediately cease any contracts with companies that violate union busting laws bargain in good faith with all university workers unions do not participate in real estate deals that are likely to lead to gentrification foodhousing insecurity is not just a university problem work with statemunicipal government to to provide food security to all not just university community']","['pay living wages lower food prices on campus offer more choices', 'increase our wages to keep up with inflation rates provide affordable healthy balanced meals on campus all the time during the week ', 'offer better wages it does not make sense that i can work at a fast food restaurant and make the same or less than i do working at a college', 'pay staff a higher wage provide healthier foods in cafeterias and other food outlets on campus subsidizing healthier options', 'pay a living wage full benefits and demand that any contractors doing business with university also pay a living wage and benefits immediately cease any contracts with companies that violate union busting laws bargain in good faith with all university workers unions do not participate in real estate deals that are likely to lead to gentrification foodhousing insecurity is not just a university problem work with statemunicipal government to to provide food security to all not just university community']"
83,11,83_homeless_shelter_type_filling,"['homeless', 'shelter', 'type', 'filling', 'some', 'dedicated', 'being', 'who', 'campus', 'dorms']","['providing housing for students facing homelessness  city shelters are often full or not applicable for students  a unm run shelter for students could look like a building dedicated to the sheltering of such students with transportation to campus provided if the shelter is off campus or the use of empty dorms around campus  providing a free meal once a day on campus for anyone with a valid unm id  ', 'in this small community the increase in homeless people has inclreased so much becuase of aprtments being unsafe there are even small children who attend elementary school and speak to the fact that they have no place to sleep and the only place they eat is at school during the day but there is no meals provided to them them in the evening weekends or holidays when the schools are no in session', 'we have a food pantry for college students to utilize but i feel that students feel shame for asking for help when it should not feel like that for anybody in general for housing insecurity we have students who live on campus but due to the nature of having to pass classes and keep financial aid is a requirement to live on campus but some students wait until the very last minute to ask for any type of assistance and end up being homeless because they lost their privilege to stay in the dorms there is no local homeless shelter large enough to house anyone who is struggling to find a place to stay and thats the problem theres plenty of churches being built in the town of farmington but no willingness to build a homeless shelter for those who wont abuse the help they get']","['support community gardens not have torn down the unm student housing complex that could have housed many homeless', 'it would probably help our students if they could have help with filling in paperwork for hud housing or other low income housing on campus also some help in filling in any type of applications that are hard to understand for any type of low income support ', 'i think the university could set aside some student housing for students who are homeless in exchange for mandatory community service', 'find a way to use campus dorms for homeless on the old college of santa fe grounds', 'providing housing for students facing homelessness  city shelters are often full or not applicable for students  a unm run shelter for students could look like a building dedicated to the sheltering of such students with transportation to campus provided if the shelter is off campus or the use of empty dorms around campus  providing a free meal once a day on campus for anyone with a valid unm id  ']"
84,11,84_insurance_health_nmsu_faculty,"['insurance', 'health', 'nmsu', 'faculty', 'facultystaff', 'love', 'cost', 'wish', '1700month', 'assisted']","['perhaps have an assisted homebuying program for faculty stanford has a program reduce the cost of medical insurance for family plants mine is about 1700month if i had just half that money as additional takehome pay id be in a much better financial situation ', 'increase minimum faculty pay have better health insurance choices pay graduate students a living wage and include tuition stipends and health insurance ', 'health insurance is very high and continues to grow each year  i have reduced my level of health insurance due to this high cost  it would be very helpful for the college to pay a higher amount for the health insurance']","['as usual i wish facultystaff were able to get more regular pay raises i think this would help those who are in serious crises otherwise i think nmsu does what it can to help students and facultystaff with the aggie cupboard and other resources ', 'offer health insurance to adjunt professors and honestly just more resources ', 'decent affordable health insurance would make a huge difference the nmpsia plan that teachers have is expensive and doesnt cover much ', 'perhaps have an assisted homebuying program for faculty stanford has a program reduce the cost of medical insurance for family plants mine is about 1700month if i had just half that money as additional takehome pay id be in a much better financial situation ', 'increase minimum faculty pay have better health insurance choices pay graduate students a living wage and include tuition stipends and health insurance ']"
85,11,85_has_hasnt_past_not,"['has', 'hasnt', 'past', 'not', 'have', 'time', 'this', 'but', 'at', 'no']","['has not ', 'has not', 'has not']","['not at this time but has in the past ', 'hasnt ', 'has not ', 'has not ', 'has not ']"
86,10,86_cared_dorms_they_would,"['cared', 'dorms', 'they', 'would', 'larger', 'our', 'students', 'groups', 'dorm', 'some']","['these are complex problems with no simple or single solution that said universities and colleges provide the opportunity for 1 community building 2 education prevention and awareness and 3 research into social and economic issues in order to find solutions in creating community universities could begin programs for students to find roommate matches or living situations either amongst each other or with willing foster families in the community alumni chapters could be a great place to start with this sort of approach', 'if we could have housing for students somehow i know that having dorms on campus is a long way off if at all and wouldnt solve the larger systemic problems of housing but i would love to see more housing options for students it would also be great if we had something once to twice a week with free meals some places ive lived larger cities have had hot meals provided by volunteer groups like food not bombs or even meals by donation by certain religious outreach groups ', 'our motto is icare which couldnt be further from the truth  administration tries to run the college like a business and only cares about the almighty   they are so antiemployee and antifaculty which impacts the entire campus  if they truly cared about our students they would provide more food resources for our students and more assistance in other areas when our students cant find housing our student achievement center hands the student a piece of paper with numbers for apartment complexes  if they cared they would actually make phone calls it would show they cared  i also would like to see some temporary emergency housing offered for our students']","['provide safe  clean dorms for college students as well as more workstudy positions to help students help themselves', 'nmjc and state of nm could buy the vacant lea regional hospital building near campus turn the property into low income housing or dorms allow cafeteria access to residents ', 'if we could have housing for students somehow i know that having dorms on campus is a long way off if at all and wouldnt solve the larger systemic problems of housing but i would love to see more housing options for students it would also be great if we had something once to twice a week with free meals some places ive lived larger cities have had hot meals provided by volunteer groups like food not bombs or even meals by donation by certain religious outreach groups ', 'let me live in the dorm at a low price', 'i hope they can receive funding to build dorms and a cafeteria']"
